concept,n_positive,n_total,probe_mean,probe_std,baseline_mean,improvement,probe_auc_mean,probe_auc_std,model,layer
Female,2984,9045,0.8057490326147041,0.004775812286667789,0.6700939745715864,0.13565505804311773,0.8885465155374135,0.004496606121622747,NN,dense_0_64
Racial minority,1281,9045,0.8573797678275291,0.0014415041249757035,0.8583747927031509,-0.0009950248756217528,0.6319170605518545,0.018219971770004048,NN,dense_0_64
Part-time worker,1441,9045,0.9663902708678828,0.004113007238858674,0.840685461580984,0.12570480928689876,0.9835878275382429,0.005006507558772067,NN,dense_0_64
Has investment activity,1156,9045,0.9778883360972912,0.0019777273432833873,0.8721945826423438,0.10569375345494736,0.9799020499532665,0.0045512147845049415,NN,dense_0_64
Unpaid / never worked,6,9045,1.0,0.0,0.9993366500829188,0.0006633499170811685,1.0,0.0,NN,dense_0_64
Caregiver proxy,1832,9045,0.9919292426755113,0.0019339807279752153,0.7974571586511885,0.1944720840243228,0.9983777525569941,0.0007640619691529068,NN,dense_0_64
Immigrant,773,9045,0.9186290768380321,0.00303582757716884,0.9145384190160308,0.004090657822001242,0.6501256220328564,0.015968016380759047,NN,dense_0_64
College educated,2921,9045,0.9768933112216696,0.004068185625864901,0.6770591487009398,0.2998341625207298,0.9955502548675874,0.0011508086928078197,NN,dense_0_64
Married,4179,9045,0.9914870093974573,0.0013358812574454967,0.5379767827529021,0.4535102266445552,0.9993336619171252,0.00041771510840107016,NN,dense_0_64
White collar,3831,9045,0.9485903814262023,0.005560984561618274,0.5764510779436153,0.37213930348258706,0.98378643161012,0.0012958540082759417,NN,dense_0_64
Near retirement,874,9045,0.9468214483139856,0.0035550989918879945,0.9033720287451631,0.043449419568822534,0.9725919050278546,0.003423819964766754,NN,dense_0_64
Full-time standard,4499,9045,0.6846876727473743,0.008203695504295882,0.5025981205085683,0.18208955223880596,0.7349210236282341,0.010150929469916555,NN,dense_0_64
