concept,cav_accuracy,correlation_with_pred,sensitivity_score
Female,0.861,-0.42169167686359493,0.15850302696752888
Racial minority,0.6791569086651054,-0.38005789630153264,0.2537149146945515
Part-time worker,0.9996530187369882,-0.2492892506855851,0.4408365437534397
Has investment activity,0.9982698961937716,0.5436504373333525,0.7330764997248211
Caregiver proxy,0.9989082969432315,-0.1659020901231578,0.5525591634562466
Immigrant,0.7063389391979301,-0.07247307714508804,0.48321408915795266
College educated,0.994,0.4294097715379346,0.8547055586130985
Married,1.0,0.6537506197979396,0.941662080352229
White collar,0.98475,0.3894523621188825,0.7886626307099615
Near retirement,0.9914187643020596,0.3372978868644625,0.7473858007705009
Full-time standard,0.99375,-0.010690882451574521,0.4127682993946065
White collar occupation,0.98475,0.3894523621188825,0.7886626307099615
Peak career,0.98175,0.5599752472533732,0.910842047330765
Single / never married,1.0,-0.5312668412427392,0.10952118877270225
