tsne_1,tsne_2,income,sex,race,age,age_group
-17.030046,-17.264668,0,Male,White,41,41-60
50.988632,-1.896221,1,Male,White,40,26-40
-28.057577,11.1947365,0,Male,Black,22,<=25
-3.5691128,-12.745704,0,Female,Asian-Pac-Islander,44,41-60
-34.286747,3.7930453,0,Female,White,19,<=25
-27.933365,18.075357,0,Male,White,24,<=25
0.9726508,-20.399672,0,Female,White,36,26-40
18.918215,-10.350419,1,Male,White,35,26-40
-17.049385,-10.7656355,0,Male,White,30,26-40
-34.70977,-1.0327599,0,Male,White,27,26-40
-1.6838123,-7.633282,1,Male,White,39,26-40
22.310234,14.691878,0,Male,White,67,60+
50.043404,-1.1228197,1,Male,White,39,26-40
34.763012,14.784146,0,Male,White,36,26-40
-15.301373,-10.144056,0,Female,Asian-Pac-Islander,34,26-40
35.934944,5.3701186,1,Male,White,35,26-40
-20.330074,-0.29343048,0,Female,White,25,<=25
34.777584,-3.2166936,1,Male,White,57,41-60
21.207624,31.576128,0,Male,White,37,26-40
-23.521935,-18.18122,0,Male,White,34,26-40
17.593864,7.760214,0,Male,White,72,60+
-15.247962,-49.665276,1,Male,White,37,26-40
-13.542261,12.062434,0,Male,White,37,26-40
-8.660389,27.838503,0,Male,White,34,26-40
-14.0782585,-24.994637,0,Female,White,59,41-60
-17.23534,-2.864627,0,Female,White,27,26-40
-12.091087,-22.038862,0,Male,White,48,41-60
15.097103,10.017356,0,Male,White,69,60+
-15.794774,-19.125105,0,Male,Black,38,26-40
-13.841358,-22.51005,0,Female,Black,44,41-60
34.159725,-0.9109271,1,Male,White,46,41-60
-13.902688,-50.094738,1,Male,White,45,41-60
12.1985,26.67384,0,Male,White,25,<=25
-23.235619,2.2036312,0,Female,White,20,<=25
-3.7171762,-2.9466531,0,Male,White,31,26-40
31.476425,-5.109346,1,Male,White,54,41-60
29.037365,26.314295,0,Male,Asian-Pac-Islander,33,26-40
-32.42822,15.841793,0,Female,White,20,<=25
-14.799006,11.617984,0,Male,White,29,26-40
13.0872,17.131683,1,Male,White,39,26-40
1.8885014,-23.207798,0,Female,Black,41,41-60
-21.386581,-0.43775415,0,Male,White,28,26-40
20.924307,30.12792,0,Male,White,32,26-40
24.867598,10.356919,1,Male,Asian-Pac-Islander,53,41-60
30.29533,4.0552807,0,Male,White,33,26-40
12.537984,14.102349,0,Male,White,55,41-60
-15.880166,1.8307427,0,Male,White,25,<=25
-15.893102,-52.452034,1,Female,White,23,<=25
-1.4329338,-3.1349325,0,Male,White,35,26-40
-36.1249,2.4326053,0,Male,White,21,<=25
-33.711624,17.545921,0,Female,Black,21,<=25
-2.9681678,-6.001566,0,Male,Black,31,26-40
-12.172853,-24.008654,0,Female,White,49,41-60
-14.62687,-27.587744,0,Female,White,43,41-60
-17.800444,-11.079163,0,Female,White,30,26-40
-34.3454,-3.1019006,0,Male,Other,27,26-40
-28.924818,5.288405,0,Male,White,23,<=25
18.468079,7.978323,1,Male,White,71,60+
46.657677,7.6004815,0,Male,White,69,60+
-8.829868,-19.709314,0,Male,White,49,41-60
-33.66834,-24.803497,0,Female,White,60,41-60
-34.82767,12.856726,0,Female,White,18,<=25
-33.679756,-23.980936,0,Female,White,49,41-60
3.6638012,-12.865233,1,Male,White,36,26-40
-37.484028,-0.93723243,0,Female,White,20,<=25
34.68274,6.289199,0,Male,White,40,26-40
-35.627964,9.360774,0,Male,White,17,<=25
-11.495279,-25.02223,0,Female,White,65,60+
-28.303541,-16.745825,0,Female,Black,37,26-40
35.838333,-8.185829,0,Male,White,73,60+
28.085804,9.896485,0,Male,White,44,41-60
-29.273636,-4.784554,0,Female,White,28,26-40
51.541412,1.8984402,1,Male,White,35,26-40
-34.458298,7.7809763,0,Male,White,19,<=25
28.808464,25.062906,0,Male,White,32,26-40
21.561728,30.296988,1,Male,White,39,26-40
0.9646099,-20.187101,0,Female,White,31,26-40
22.090357,16.129349,0,Male,White,45,41-60
-8.960218,28.401274,0,Male,White,45,41-60
-18.561573,-10.046088,0,Male,White,35,26-40
-12.278876,-16.446924,0,Male,White,52,41-60
-21.081837,-26.704798,0,Female,White,72,60+
-14.81037,10.116979,0,Male,Asian-Pac-Islander,25,<=25
-11.398394,-12.963716,1,Female,White,34,26-40
-9.958867,28.4912,0,Male,White,62,60+
52.027447,2.1807153,1,Male,White,36,26-40
24.598509,12.026947,0,Male,Black,52,41-60
1.3279601,-24.61038,0,Male,White,43,41-60
-42.496532,14.694145,0,Male,Black,18,<=25
-7.5421476,-21.249222,0,Female,Black,47,41-60
50.608368,-1.2393858,1,Male,White,40,26-40
12.855879,12.582903,1,Male,White,58,41-60
-29.201603,-15.435638,0,Male,White,29,26-40
-29.1473,-16.326664,0,Female,White,41,41-60
-13.778363,11.485347,0,Female,White,53,41-60
-26.328428,-7.8864145,0,Female,White,41,41-60
-14.045405,-44.34688,1,Male,White,70,60+
-18.54758,-15.16704,0,Female,White,29,26-40
1.3233215,-6.949342,0,Female,White,52,41-60
-35.681946,3.475213,0,Female,White,21,<=25
51.068096,0.92926836,1,Male,White,31,26-40
11.375805,25.882946,0,Male,White,25,<=25
20.757772,2.4149845,1,Male,White,40,26-40
-17.517996,-10.753081,0,Male,White,36,26-40
13.733885,22.414389,0,Male,White,31,26-40
-14.11559,-45.340233,1,Male,Asian-Pac-Islander,65,60+
-4.2523427,-14.369561,0,Male,White,47,41-60
48.37084,7.3545537,1,Male,White,44,41-60
18.620808,31.407034,0,Male,White,28,26-40
-34.885914,2.3685648,0,Female,White,24,<=25
-0.7383521,-5.717765,0,Male,White,41,41-60
-36.57337,13.912335,0,Male,White,17,<=25
-36.261173,18.153154,0,Male,White,18,<=25
-2.7092748,-7.6186385,0,Male,White,35,26-40
47.004345,7.6874986,1,Male,White,53,41-60
14.901911,23.616814,1,Male,White,30,26-40
-0.51233166,-22.536867,0,Female,White,49,41-60
11.847069,25.23256,0,Male,White,28,26-40
16.516602,10.886308,1,Male,White,57,41-60
-9.71956,28.05817,0,Male,White,39,26-40
-22.682934,-8.381262,0,Male,White,40,26-40
16.548082,12.748225,1,Male,White,52,41-60
-25.461588,10.31574,0,Male,White,21,<=25
29.747,-5.4860787,0,Female,White,63,60+
1.9459771,-7.595852,0,Male,White,49,41-60
44.016155,-2.7793503,0,Male,White,60,41-60
-33.76245,-24.158585,0,Female,White,66,60+
32.321785,-4.089167,0,Male,Black,47,41-60
-15.226912,-22.688602,0,Male,White,49,41-60
0.18144003,-2.1447742,0,Male,White,38,26-40
-32.23413,17.346228,0,Male,White,20,<=25
-34.47104,9.118076,0,Male,White,21,<=25
-22.898039,-27.59902,0,Female,White,41,41-60
12.338495,22.00853,0,Male,White,32,26-40
-6.223766,-1.332699,0,Male,White,25,<=25
9.849004,24.906847,0,Male,White,25,<=25
-14.881926,-50.605034,1,Male,White,36,26-40
29.431812,-0.07548236,1,Male,Asian-Pac-Islander,37,26-40
13.105637,13.30091,0,Male,White,52,41-60
19.426779,9.906876,1,Male,White,69,60+
-27.843567,17.900892,0,Female,White,22,<=25
-7.2551894,-3.8530722,0,Female,White,28,26-40
-8.268319,-18.132187,0,Male,White,37,26-40
47.566,2.649549,1,Male,White,61,60+
29.106981,3.7162192,0,Male,White,32,26-40
-35.54543,-8.806139,0,Female,White,29,26-40
-21.177877,6.5408187,0,Female,White,23,<=25
-12.29748,-4.9588184,0,Male,White,25,<=25
21.118902,10.389105,1,Male,White,53,41-60
-5.962748,-1.7649785,0,Male,White,27,26-40
-34.8076,18.321657,0,Female,White,21,<=25
-23.773598,10.337269,0,Female,Black,21,<=25
17.749472,13.3764305,1,Male,White,44,41-60
-13.68018,-27.022846,0,Female,White,51,41-60
34.258823,-4.932077,0,Male,White,56,41-60
16.826006,-7.5181937,0,Male,White,68,60+
-7.977165,-17.503206,0,Male,White,36,26-40
33.200893,-1.5863991,1,Male,White,44,41-60
-20.678263,-24.507713,0,Female,White,51,41-60
13.08447,16.234394,0,Male,White,38,26-40
10.580996,15.174103,0,Female,White,36,26-40
-8.203032,-9.191995,0,Female,White,33,26-40
-12.174532,-1.4136631,0,Male,White,25,<=25
-23.388592,10.705948,0,Male,White,18,<=25
47.370647,0.78514093,0,Female,White,46,41-60
-6.3679285,16.238113,0,Female,White,27,26-40
22.408117,0.88581437,1,Male,Asian-Pac-Islander,59,41-60
51.152225,9.11167,1,Male,White,33,26-40
-19.622938,-14.215179,0,Male,White,29,26-40
14.729546,11.686066,0,Male,White,50,41-60
48.698288,8.861941,1,Male,White,45,41-60
-18.761484,-14.984109,0,Male,White,29,26-40
11.272943,24.688154,0,Male,White,26,26-40
-19.314657,3.4828377,0,Male,White,24,<=25
-42.022633,15.377136,0,Female,White,22,<=25
33.521004,-5.488446,1,Male,White,47,41-60
-8.713177,-2.900101,0,Male,White,27,26-40
20.737225,-0.6838325,1,Male,White,51,41-60
26.635422,10.680859,1,Male,White,53,41-60
15.69451,16.754333,0,Male,White,43,41-60
2.3445165,-23.659466,0,Female,Black,35,26-40
-42.989067,14.476911,0,Male,White,19,<=25
37.23818,-7.9803534,0,Male,White,32,26-40
-20.20876,1.0140624,0,Male,White,27,26-40
21.194725,21.889019,0,Male,White,46,41-60
-11.568376,4.021184,0,Female,White,22,<=25
19.469795,-9.660716,1,Female,Asian-Pac-Islander,32,26-40
29.345001,27.161661,0,Male,White,47,41-60
33.803497,-6.647936,0,Male,White,57,41-60
22.00864,-0.91986346,1,Male,White,59,41-60
28.425304,17.31566,1,Female,Asian-Pac-Islander,31,26-40
47.976624,2.4739833,1,Male,White,51,41-60
1.7397429,-22.988523,0,Male,White,40,26-40
-13.008495,-23.618458,0,Female,White,57,41-60
-14.346889,-12.345162,0,Male,White,35,26-40
-15.290755,-10.931344,0,Male,White,30,26-40
-12.682529,-24.335066,0,Male,White,50,41-60
-1.815805,-4.5178685,0,Male,White,41,41-60
-2.5334656,16.302872,0,Male,White,78,60+
-21.443178,5.0759983,0,Male,White,23,<=25
51.64018,2.0740361,1,Male,White,38,26-40
31.211143,4.658253,0,Male,White,34,26-40
19.020943,11.323088,1,Male,White,46,41-60
-37.43889,2.7597938,0,Female,White,20,<=25
31.184336,3.0458326,0,Male,White,37,26-40
50.606632,0.7575251,1,Male,White,41,41-60
-9.1457205,-3.369001,0,Male,White,28,26-40
-21.419353,-27.564407,0,Female,White,45,41-60
14.997497,22.41723,1,Male,White,32,26-40
-35.836502,9.248557,0,Male,White,17,<=25
-13.624227,-50.600517,1,Male,White,50,41-60
34.291054,1.9453579,0,Male,White,41,41-60
19.056965,9.81242,0,Male,White,70,60+
27.847303,9.900702,1,Male,White,50,41-60
-27.67818,-7.3596067,0,Male,White,39,26-40
33.159626,-2.4647083,1,Male,White,46,41-60
49.81169,7.7378945,1,Male,White,42,41-60
-23.540558,10.615494,0,Male,Black,23,<=25
31.777,-3.460152,1,Male,Amer-Indian-Eskimo,47,41-60
1.2168983,-23.153807,0,Female,White,42,41-60
-15.572826,-50.682278,1,Male,White,58,41-60
14.800539,19.709862,0,Male,White,40,26-40
-21.41506,5.01702,0,Female,White,22,<=25
51.10196,7.3924932,0,Male,White,33,26-40
